COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,8/1/2018,00:00.7,0157B1,COMP,PRESS-RELEASE,4D50AE5A309EE276DDA25FB13D05ED95,45,1,9,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:01.8,0157B1,COMP,PRESS-RELEASE,8BFA8F91E16BFB462BCB743708669650,45,6,7,100,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:11.4,0157B1,COMP,PRESS-RELEASE,6CDFF63B9319B6FC84A2857BE0AAEE10,45,1,1,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,30:00.4,0157B1,COMP,PRESS-RELEASE,B8BD4DC3B08C4B8B8FA63D1F7D4DE4DD,45,1,12,50,50,50,50,100,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:01.7,0157B1,COMP,PRESS-RELEASE,6AA24CB8151245FD4E20BB3442D4E266,45,2,6,50,50,100,50,50,50,50,100,8/1/2018,,
US/AMZN,8/1/2018,00:12.8,0157B1,COMP,PRESS-RELEASE,4EB31C544310454466207DA8735A8A70,45,5,9,50,50,50,50,50,100,50,50,8/1/2018,,
US/AMZN,8/1/2018,59:57.1,0157B1,COMP,PRESS-RELEASE,E1D4681123194AFA363E36E80AF5DE1B,45,5,9,50,50,100,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:00.9,0157B1,COMP,PRESS-RELEASE,4C7F0CBBFCE845D79366916ABAF08453,45,2,4,50,50,50,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,00:25.8,0157B1,COMP,PRESS-RELEASE,900185AC3164439CF3A2ADE31DAE0A94,45,5,9,50,50,100,50,50,50,50,50,8/1/2018,,
US/AMZN,8/1/2018,30:14.4,0157B1,COMP,PRESS-RELEASE,ADDFE029341E57426D0BF63E4C8ECED9,45,3,9,100,50,50,50,50,50,50,50,8/1/2018,,
